11:21:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:21:39       3    1.02    0.00    2.04    0.00    0.00    0.00    0.00   48.98    0.00   47.96
11:21:39       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:39       5    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00    0.00    0.00
11:21:39       6    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:39       7    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:39       8    0.00    0.00   19.19    0.00    0.00    1.01    0.00   79.80    0.00    0.00
11:21:39       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:39      10    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:21:39      11    0.00    0.00    0.00    0.00    0.00   28.00    0.00   62.00    0.00   10.00
11:21:39      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   46.46    0.00   53.54
11:21:39      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.03    0.00   98.97
11:21:39      14    0.00    0.00    7.00    0.00    0.00    0.00    0.00   50.00    0.00   43.00
11:21:39      15    0.00    0.00   26.53    0.00    0.00    0.00    0.00   13.27    0.00   60.20
11:21:39      16    0.00    0.00    8.08    1.01    0.00    0.00    0.00   11.11    0.00   79.80
11:21:39      17    0.00    0.00    1.01    0.00    0.00    1.01    0.00   97.98    0.00    0.00
11:21:39      18    0.00    0.00   26.32    1.05    0.00    0.00    0.00    0.00    0.00   72.63
11:21:39      19    0.00    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   98.94
11:21:39      20    0.00    0.00   67.01    0.00    0.00    1.03    0.00    8.25    0.00   23.71
11:21:39      21    0.00    0.00   13.27    0.00    0.00    9.18    0.00    1.02    0.00   76.53
11:21:39      22    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
11:21:39      23    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01    0.00    0.00
11:21:39      24    0.00    0.00    0.00    0.00    0.00    1.01    0.00   60.61    0.00   38.38
11:21:39      25    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:39      26    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
11:21:39      27    0.00    0.00    1.05    0.00    0.00    0.00    0.00    2.11    0.00   96.84
